symbol	price	open	high	low	change	close	time	state
EURAUD=X	1.63567	1.63031	1.63652	1.62942	0.0030168906	1.63075	29-04-2026 11:05:37	REGULAR
EURCAD=X	1.60152	1.60166	1.6028	1.59928	-7.494864999999999e-05	1.60164	29-04-2026 11:05:38	REGULAR
EURCHF=X	0.92407	0.92414	0.9246	0.9226	-1.0836152e-05	0.92408	29-04-2026 11:05:38	REGULAR
EURCNY=X	7.9957	8.011	8.011	7.9896	-0.0015488943	8.0081	29-04-2026 11:04:23	REGULAR
EURCZK=X	24.365	24.3305	24.3797	24.302	0.0013145402	24.333	29-04-2026 11:05:23	REGULAR
EURDKK=X	7.47379	7.4723	7.47379	7.472	0.00019945043999999997	7.4723	29-04-2026 11:05:23	REGULAR
EURGBP=X	0.86617	0.86631	0.86706	0.86612	0.0	0.86617	29-04-2026 11:05:40	REGULAR
EURHKD=X	9.16988	9.17387	9.1837	9.16333	-0.0006234076000000001	9.1756	29-04-2026 11:05:40	REGULAR
EURHUF=X	363.872	363.25	364.528	363.13	0.0016020015000000002	363.29	29-04-2026 11:05:36	REGULAR
EURILS=X	3.4667	3.4636	3.4736	3.4461	0.00025968150999999996	3.4658	29-04-2026 11:05:40	REGULAR
EURJPY=X	186.932	186.796	187.018	186.672	0.0006959501999999999	186.802	29-04-2026 11:05:42	REGULAR
EURMXN=X	20.3679	20.383	20.3832	20.34286	-0.0006917437	20.382	29-04-2026 11:05:37	REGULAR
EURNOK=X	10.8914	10.91762	10.9268	10.8832	-0.0028555423	10.92259	29-04-2026 11:05:43	REGULAR
EURNZD=X	1.99809	1.98963	1.99895	1.98789	0.00430249	1.98953	29-04-2026 11:05:43	REGULAR
EURPLN=X	4.25305	4.2443	4.2545	4.24387	0.0020615552	4.2443	29-04-2026 11:05:41	REGULAR
EURRUB=X	87.766	88.107	88.176	87.736	-0.003068021	88.036	29-04-2026 11:04:23	REGULAR
EURSEK=X	10.85464	10.85531	10.86425	10.8359	0.00015298535999999998	10.85298	29-04-2026 11:05:45	REGULAR
EURSGD=X	1.49468	1.49392	1.4956	1.49311	0.0007162948	1.49361	29-04-2026 11:05:44	REGULAR
EURTHB=X	38.192	38.016	38.218	38.011	0.0045736462	38.018	29-04-2026 11:04:23	REGULAR
EURTRY=X	52.9048	52.9486	52.9816	52.6295	0.0021064483	52.7936	29-04-2026 11:05:46	REGULAR
EURUSD=X	1.1705489	1.1717834	1.1724703	1.1698643	-0.0010535293	1.1717834	29-04-2026 11:05:23	REGULAR
EURZAR=X	19.41686	19.3478	19.43324	19.326	0.0038497683	19.3424	29-04-2026 11:05:47	REGULAR
